Consultant Name,Amount,Quarter Start Date,Quarter End Date,Year,Quarter,Committee Name
Storefront Politcal Media,250.00,2010 December 01,2011 February 28,2011,1,David Onek for DA 2011
Sheri Rubin (Integrated Fundraising Strategies),100.00,2010 December 01,2011 February 28,2011,1,Dennis Herrera for Mayor 2011
HKH Consulting,150.00,2016 September 01,2016 November 30,2016,4,Amy Bacharach for College Board 2016
"Winnicker, Anthony",1000.00,2018 March 01,2018 May 31,2018,2,United Democratic Club
Stearns Consulting,500.00,2015 March 01,2015 May 31,2015,2,Aaron Peskin for Supervisor 2015
"Bay Club (Tourk, Alex as intermediary)",5000.00,2016 March 01,2016 May 31,2016,2,London Breed for Democratic County Central Committee 2016
Keith Baraka,110.00,2019 June 01,2019 August 31,2019,3,Yes on C- Coalition for Reasonable Vaping
Anthony Winnicker,500.00,2019 June 01,2019 August 31,2019,3,Vallie Brown for Supervisor
Anthony Winnicker,500.00,2019 June 01,2019 August 31,2019,3,Jenny Lam for School Board
Stearns Consulting,50.00,2019 June 01,2019 August 31,2019,3,Boudin for District Attorney 2019
Keith Baraka,110.00,2019 June 01,2019 August 31,2019,3,Yes on C- Coalition for Reasonable Vaping
Anthony Winnicker,500.00,2019 June 01,2019 August 31,2019,3,Ivy Lee for College Board
Nathan Allbee,500.00,2019 June 01,2019 August 31,2019,3,Dean Preston for Supervisor
Keith Baraka,110.00,2019 June 01,2019 August 31,2019,3,Yes on C- Coalition for Reasonable Vaping
"Snyder, Jennifer",500.00,2019 June 01,2019 August 31,2019,3,Chesa Boudin for DA
"Golinger, Jon",10.00,2019 June 01,2019 August 31,2019,3,Chesa Boudin for District Attorney 2019
